Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name,data_type,Enrichment
TREM2,IGFQ000852,BBN_16213,SSC,BBN_16213_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_18399,SSC,BBN_18399_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_24370,SSC,BBN_24370_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_16213,EC,BBN_16213_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_24370,EC,BBN_24370_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_21792,SSC,BBN_21792_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN002.30127,SSC,BBN002_30127_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_21792,EC,BBN_21792_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN002.30127,EC,BBN002_30127_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_24578,SSC,BBN_24578_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_9939,SSC,BBN_9939_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_18399,EC,BBN_18399_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_24578,EC,BBN_24578_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_9939,EC,BBN_9939_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN002.29089,SSC,BBN002_29089_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN002.29089,EC,BBN002_29089_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_13802,EC,BBN_13802_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_9984,SSC,BBN_9984_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_9984,EC,BBN_9984_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_13802,SSC,BBN_13802_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_10099,EC,BBN_10099_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_10099,SSC,BBN_10099_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_10109,EC,BBN_10109_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ000852,BBN_10109,SSC,BBN_10109_SSC_GEN_S1,snRNAseq,GEN
