Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name
TREM2,IGFQ001404,BBN_9727,SSC,BBN_9727_SSC_S1
TREM2,IGFQ001167,BBN_9727,SSC,BBN_9727_SSC_S2
TREM2,IGFQ000949,BBN_10611,MTG,BBN_10611_MTG_S1
TREM2,IGFQ000949,BBN_10611,SSC,BBN_10611_SSC_S1
TREM2,IGFQ001167,BBN_10611,MTG,BBN_10611_MTG_S2
TREM2,IGFQ001167,BBN_10611,SSC,BBN_10611_SSC_S2
TREM2,IGFQ000949,BBN_21005,SSC,BBN_21005_SSC_S1
TREM2,IGFQ000949,BBN_21005,MTG,BBN_21005_MTG_S1
TREM2,IGFQ001167,BBN_21005,MTG,BBN_21005_MTG_S2
TREM2,IGFQ001167,BBN_21005,SSC,BBN_21005_SSC_S2
TREM2,IGFQ000949,BBN_18399,SSC,BBN_18399_SSC_S1
TREM2,IGFQ000949,BBN_18399,MTG,BBN_18399_MTG_S1
TREM2,IGFQ001167,BBN_18399,MTG,BBN_18399_MTG_S2
TREM2,IGFQ001167,BBN_18399,SSC,BBN_18399_SSC_S2
TREM2,IGFQ000949,BBN_21792,SSC,BBN_21792_SSC_S1
TREM2,IGFQ000949,BBN_21792,MTG,BBN_21792_MTG_S1
TREM2,IGFQ001167,BBN_21792,MTG,BBN_21792_MTG_S2
TREM2,IGFQ001167,BBN_21792,SSC,BBN_21792_SSC_S2
TREM2,IGFQ000949,BBN002.30035,SSC,BBN002_30035_SSC_S1
TREM2,IGFQ000949,BBN002.30035,MTG,BBN002_30035_MTG_S1
TREM2,IGFQ001167,BBN002.30035,MTG,BBN002_30035_MTG_S2
TREM2,IGFQ001167,BBN002.30035,SSC,BBN002_30035_SSC_S2
TREM2,IGFQ000949,BBN_16213,MTG,BBN_16213_MTG_S1
TREM2,IGFQ000949,BBN_16213,SSC,BBN_16213_SSC_S1
TREM2,IGFQ001167,BBN_16213,MTG,BBN_16213_MTG_S2
TREM2,IGFQ001167,BBN_16213,SSC,BBN_16213_SSC_S2
TREM2,IGFQ000949,BBN002.30127,SSC,BBN002_30127_SSC_S1
TREM2,IGFQ000949,BBN002.30127,MTG,BBN002_30127_MTG_S1
TREM2,IGFQ001167,BBN002.30127,MTG,BBN002_30127_MTG_S2
TREM2,IGFQ001167,BBN002.30127,SSC,BBN002_30127_SSC_S2
TREM2,IGFQ000949,BBN_9939,SSC,BBN_9939_SSC_S1
TREM2,IGFQ001167,BBN_9939,SSC,BBN_9939_SSC_S2
TREM2,IGFQ000949,BBN_18813,SSC,BBN_18813_SSC_S1
TREM2,IGFQ000949,BBN_18813,MTG,BBN_18813_MTG_S1
TREM2,IGFQ001167,BBN_18813,MTG,BBN_18813_MTG_S2
TREM2,IGFQ001167,BBN_18813,SSC,BBN_18813_SSC_S2
TREM2,IGFQ001404,BBN_9980,EC,BBN_9980_EC_S1
TREM2,IGFQ001404,BBN_9980,EC,BBN_9980_EC_S2
TREM2,IGFQ000949,BBN002.26094,SSC,BBN002_26094_SSC_S1
TREM2,IGFQ000949,BBN002.26094,MTG,BBN002_26094_MTG_S1
TREM2,IGFQ001167,BBN002.26094,MTG,BBN002_26094_MTG_S2
TREM2,IGFQ001167,BBN002.26094,SSC,BBN002_26094_SSC_S2
TREM2,IGFQ000949,BBN_9984,SSC,BBN_9984_SSC_S1
TREM2,IGFQ001167,BBN_9984,SSC,BBN_9984_SSC_S2
TREM2,IGFQ000949,BBN_24370,SSC,BBN_24370_SSC_S1
TREM2,IGFQ000949,BBN_24370,MTG,BBN_24370_MTG_S1
TREM2,IGFQ001167,BBN_24370,MTG,BBN_24370_MTG_S2
TREM2,IGFQ001167,BBN_24370,SSC,BBN_24370_SSC_S2
TREM2,IGFQ000949,BBN002.29089,MTG,BBN002_29089_MTG_S1
TREM2,IGFQ000949,BBN002.29089,SSC,BBN002_29089_SSC_S1
TREM2,IGFQ001167,BBN002.29089,MTG,BBN002_29089_MTG_S2
TREM2,IGFQ001167,BBN002.29089,SSC,BBN002_29089_SSC_S2
TREM2,IGFQ001404,BBN_13802,EC,BBN_13802_EC_S1
TREM2,IGFQ000949,BBN_13802,SSC,BBN_13802_SSC_S1
TREM2,IGFQ000949,BBN_13802,EC,BBN_13802_EC_S2
TREM2,IGFQ000949,BBN_13802,MTG,BBN_13802_MTG_S1
TREM2,IGFQ001167,BBN_13802,MTG,BBN_13802_MTG_S2
TREM2,IGFQ001167,BBN_13802,SSC,BBN_13802_SSC_S2
TREM2,IGFQ000949,BBN002.29170,SSC,BBN002_29170_SSC_S1
TREM2,IGFQ001167,BBN002.29170,SSC,BBN002_29170_SSC_S2
TREM2,IGFQ000949,BBN_24578,SSC,BBN_24578_SSC_S1
TREM2,IGFQ000949,BBN_24578,MTG,BBN_24578_MTG_S1
TREM2,IGFQ001167,BBN_24578,MTG,BBN_24578_MTG_S2
TREM2,IGFQ001167,BBN_24578,SSC,BBN_24578_SSC_S2
