,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
0,IGF0008416,1A,i701,,,,1A,1A
1,IGF0008417,1B,i701,,,,1B,1B
2,IGF0008418,1C,i701,,,,1C,1C
3,IGF0008419,1D,i701,,,,1D,1D
4,IGF0008420,1E,i702,,,,1E,1E
5,IGF0008421,1F,i702,,,,1F,1F
6,IGF0008422,2A,i702,,,,2A,2A
7,IGF0008423,2B,i702,,,,2B,2B
8,IGF0008424,2C,i703,,,,2C,2C
9,IGF0008425,2D,i703,,,,2D,2D
10,IGF0008428,3A,i704,,,,3A,3A
11,IGF0008429,3B,i704,,,,3B,3B
12,IGF0008430,3C,i704,,,,3C,3C
13,IGF0008431,3D,i704,,,,3D,3D
14,IGF0008432,3E,i705,,,,3E,3E
15,IGF0008433,3F,i705,,,,3F,3F
16,IGF0008434,4A,i705,,,,4A,4A
17,IGF0008435,4B,i705,,,,4B,4B
18,IGF0008436,4C,i706,,,,4C,4C
19,IGF0008437,4D,i706,,,,4D,4D
20,IGF0008438,4E,i706,,,,4E,4E
21,IGF0008439,4F,i706,,,,4F,4F
22,IGF0008440,5A,i707,,,,5A,5A
23,IGF0008441,5B,i707,,,,5B,5B
24,IGF0008442,5C,i707,,,,5C,5C
25,IGF0008443,5D,i707,,,,5D,5D
26,IGF0008444,5E,i708,,,,5E,5E
27,IGF0008445,5F,i708,,,,5F,5F
28,IGF0008446,6A,i708,,,,6A,6A
29,IGF0008447,6B,i708,,,,6B,6B
30,IGF0008448,6C,i709,,,,6C,6C
31,IGF0008449,6D,i709,,,,6D,6D
32,IGF0008450,6E,i709,,,,6E,6E
33,IGF0008451,6F,i709,,,,6F,6F
34,IGF0008452,7A,i710,,,,7A,7A
35,IGF0008453,7B,i710,,,,7B,7B
36,IGF0008454,7C,i710,,,,7C,7C
37,IGF0008455,7D,i710,,,,7D,7D
38,IGF0008456,7E,i711,,,,7E,7E
39,IGF0008457,7F,i711,,,,7F,7F
40,IGF0008458,8A,i711,,,,8A,8A
41,IGF0008459,8B,i711,,,,8B,8B
42,IGF0008460,8C,i712,,,,8C,8C
43,IGF0008461,8D,i712,,,,8D,8D
44,IGF0008462,8E,i712,,,,8E,8E
45,IGF0008463,8F,i712,,,,8F,8F
0,IGF104775,Sort5-Small_1,,,,,Sort5-Small_1,Sort5_Small
4,IGF104776,Sort5-Big_1,,,,,Sort5-Big_1,Sort5_Big
8,IGF104777,Sort5-Both_1,,,,,Sort5-Both_1,Sort5_Both
0,IGF109273,PD332_1,SI-GA-E2,,,,PD332_1,PD332
4,IGF109274,PD566_1,SI-GA-E8,,,,PD566_1,PD566
8,IGF109275,PD706_1,SI-GA-E12,,,,PD706_1,PD706
12,IGF109276,PD060_1,SI-GA-G8,,,,PD060_1,PD060
16,IGF109277,PD163_1,SI-GA-H3,,,,PD163_1,PD163
20,IGF109278,PD115_1,SI-GA-G11,,,,PD115_1,PD115
24,IGF109279,PD294_1,SI-GA-G12,,,,PD294_1,PD294
28,IGF109280,PD341_1,SI-GA-E3,,,,PD341_1,PD341
32,IGF109281,PD366_1,SI-GA-E6,,,,PD366_1,PD366
36,IGF109282,PD415_1,SI-GA-F1,,,,PD415_1,PD415
40,IGF109283,PD563_1,SI-GA-E11,,,,PD563_1,PD563
44,IGF109284,PD678_1,SI-GA-G10,,,,PD678_1,PD678
48,IGF109285,PD501_1,SI-GA-H4,,,,PD501_1,PD501
52,IGF109286,PD531_1,SI-GA-H1,,,,PD531_1,PD531
56,IGF109287,PD732_1,SI-GA-E4,,,,PD732_1,PD732
60,IGF109288,PD413_1,SI-GA-E10,,,,PD413_1,PD413
64,IGF109289,PD416_1,SI-GA-E7,,,,PD416_1,PD416
68,IGF109290,PD523_1,SI-GA-F2,,,,PD523_1,PD523
72,IGF109291,PD747_1,SI-GA-F3,,,,PD747_1,PD747
76,IGF109292,PD666_1,SI-GA-G9,,,,PD666_1,PD666
80,IGF109293,PD683_1,SI-GA-H5,,,,PD683_1,PD683
84,IGF109294,PDC05_1,SI-GA-E1,,,,PDC05_1,PDC05
88,IGF109295,PDC22_1,SI-GA-E5,,,,PDC22_1,PDC22
