Sample_ID,Unnamed: 0,Brain Bank ID,CaseID ,BrainRegionID,BrainRegionname,snRNAseq10XDate,StudyID,Study,Brain Bank ID (normalized),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
IGF104775,46,BBN_9984,A277/12,3.0,Somatosensory Cortex,2019-07-17,2.0,TREM2,BBN_9984,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/8_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104775/Sort5-Small_S1_L008_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104775/Sort5-Small_S1_L007_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104775/Sort5-Small_S1_L007_R2_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104775/Sort5-Small_S1_L006_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104775/Sort5-Small_S1_L006_R2_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF104776,47,BBN_13802,A319/11,3.0,Somatosensory Cortex,2019-07-17,2.0,TREM2,BBN_13802,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/8_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104776/Sort5-Big_S2_L008_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104776/Sort5-Big_S2_L007_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104776/Sort5-Big_S2_L007_R2_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104776/Sort5-Big_S2_L006_R2_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104776/Sort5-Big_S2_L006_R1_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF104777,48,BBN_7519,20100742,3.0,Somatosensory Cortex,2020-11-03,2.0,TREM2,BBN_7519,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/8_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104777/Sort5-Both_S3_L008_R2_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104777/Sort5-Both_S3_L007_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/7_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104777/Sort5-Both_S3_L007_R2_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104777/Sort5-Both_S3_L006_R1_001.fastq.gz,/seqdata/IGFQ000523_reynolds_25-5-2018_SC/fastq/2018-06-01/HVWN7BBXX/6_8/IGFQ000523_reynolds_25-5-2018_SC/IGF104777/Sort5-Both_S3_L006_R2_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF109273,49,BBN_13802,A319/11,3.0,Somatosensory Cortex,2019-07-17,2.0,TREM2,BBN_13802,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L008_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L002_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109273/PD332_S1_L002_R2_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109274,50,BBN003.32185,19910006,2.0,Temporal Cortex BA21,2020-10-27,2.0,TREM2,BBN003.32185,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L008_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L002_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109274/PD566_S2_L002_R2_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109275,51,BBN_10099,PDC016,3.0,Somatosensory Cortex,2019-07-25,2.0,TREM2,BBN_10099,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L008_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L002_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109275/PD706_S3_L002_R1_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109276,52,BBN003.32212,19920200,3.0,Somatosensory Cortex,2020-10-27,2.0,TREM2,BBN003.32212,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L008_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L002_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109276/PD060_S4_L002_R1_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109277,53,BBN_10099,PDC016,1.0,Entorhinal Cortex,2019-07-25,2.0,TREM2,BBN_10099,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L008_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L002_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109277/PD163_S5_L002_R1_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109278,54,BBN003.32235,19930222,2.0,Temporal Cortex BA21,2020-10-22,2.0,TREM2,BBN003.32235,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L008_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L002_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109278/PD115_S6_L002_R2_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
IGF109279,55,BBN_10099,PDC016,1.0,Entorhinal Cortex,2019-07-25,2.0,TREM2,BBN_10099,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/8_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L008_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L007_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/7_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L007_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L006_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/6_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L006_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L005_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/5_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L005_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L004_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/4_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L004_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L001_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/1_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L001_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L003_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/3_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L003_R1_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L002_R2_001.fastq.gz,/seqdata/IGFQ000691_matthews_10-12-2018_SC/fastq/2019-01-17/H2N5FBBXY/2_8/IGFQ000691_matthews_10-12-2018_SC/IGF109279/PD294_S7_L002_R1_001.fastq.gz,,,,,,,,,,,,,,,,,,,,,,,,
