synapse_file_id  filename
syn53009226  BBN002_26094_EC_S1_L001_R1_001.fastq.gz
syn53016737  BBN002_26094_EC_S1_L001_R2_001.fastq.gz
syn53122755  BBN002_26094_MTG_S1_L001_R1_001.fastq.gz
syn53122926  BBN002_26094_MTG_S1_L001_R2_001.fastq.gz
syn53122758  BBN002_26094_MTG_S2_L001_R1_001.fastq.gz
syn53122929  BBN002_26094_MTG_S2_L001_R2_001.fastq.gz
syn53122754  BBN002_26094_SSC_S1_L001_R1_001.fastq.gz
syn53122925  BBN002_26094_SSC_S1_L001_R2_001.fastq.gz
syn53122762  BBN002_26094_SSC_S2_L001_R1_001.fastq.gz
syn53129567  BBN002_26094_SSC_S2_L001_R2_001.fastq.gz
syn53009264  BBN002_29089_EC_S1_L001_R1_001.fastq.gz
syn53016749  BBN002_29089_EC_S1_L001_R2_001.fastq.gz
syn53122773  BBN002_29089_MTG_S1_L001_R1_001.fastq.gz
syn53122937  BBN002_29089_MTG_S1_L001_R2_001.fastq.gz
syn53122779  BBN002_29089_MTG_S2_L001_R1_001.fastq.gz
syn53122943  BBN002_29089_MTG_S2_L001_R2_001.fastq.gz
syn53122775  BBN002_29089_SSC_S1_L001_R1_001.fastq.gz
syn53122940  BBN002_29089_SSC_S1_L001_R2_001.fastq.gz
syn53122778  BBN002_29089_SSC_S2_L001_R1_001.fastq.gz
syn53122946  BBN002_29089_SSC_S2_L001_R2_001.fastq.gz
syn53009261  BBN002_29170_EC_S1_L001_R1_001.fastq.gz
syn53016762  BBN002_29170_EC_S1_L001_R2_001.fastq.gz
syn53056361  BBN002_29170_MTG_S1_L001_R1_001.fastq.gz
syn53056846  BBN002_29170_MTG_S1_L001_R2_001.fastq.gz
syn53122789  BBN002_29170_SSC_S1_L001_R1_001.fastq.gz
syn53122954  BBN002_29170_SSC_S1_L001_R2_001.fastq.gz
syn53122796  BBN002_29170_SSC_S2_L001_R1_001.fastq.gz
syn53129561  BBN002_29170_SSC_S2_L001_R2_001.fastq.gz
syn53009223  BBN002_30035_EC_S1_L001_R1_001.fastq.gz
syn53010012  BBN002_30035_EC_S1_L001_R2_001.fastq.gz
syn53122717  BBN002_30035_MTG_S1_L001_R1_001.fastq.gz
syn53122896  BBN002_30035_MTG_S1_L001_R2_001.fastq.gz
syn53122724  BBN002_30035_MTG_S2_L001_R1_001.fastq.gz
syn53122902  BBN002_30035_MTG_S2_L001_R2_001.fastq.gz
syn53122715  BBN002_30035_SSC_S1_L001_R1_001.fastq.gz
syn53122892  BBN002_30035_SSC_S1_L001_R2_001.fastq.gz
syn53122721  BBN002_30035_SSC_S2_L001_R1_001.fastq.gz
syn53129568  BBN002_30035_SSC_S2_L001_R2_001.fastq.gz
syn53009242  BBN002_30127_EC_S1_L001_R1_001.fastq.gz
syn53010038  BBN002_30127_EC_S1_L001_R2_001.fastq.gz
syn53122734  BBN002_30127_MTG_S1_L001_R1_001.fastq.gz
syn53122909  BBN002_30127_MTG_S1_L001_R2_001.fastq.gz
syn53122737  BBN002_30127_MTG_S2_L001_R1_001.fastq.gz
syn53122913  BBN002_30127_MTG_S2_L001_R2_001.fastq.gz
syn53122730  BBN002_30127_SSC_S1_L001_R1_001.fastq.gz
syn53122904  BBN002_30127_SSC_S1_L001_R2_001.fastq.gz
syn53122735  BBN002_30127_SSC_S2_L001_R1_001.fastq.gz
syn53129547  BBN002_30127_SSC_S2_L001_R2_001.fastq.gz
syn53008980  BBN003_26332_EC_S1_L001_R1_001.fastq.gz
syn53009385  BBN003_26332_EC_S1_L001_R2_001.fastq.gz
syn53008956  BBN003_26332_SSC_S1_L001_R1_001.fastq.gz
syn53009382  BBN003_26332_SSC_S1_L001_R2_001.fastq.gz
syn53008967  BBN003_26333_EC_S1_L001_R1_001.fastq.gz
syn53009388  BBN003_26333_EC_S1_L001_R2_001.fastq.gz
syn53008969  BBN003_26333_SSC_S1_L001_R1_001.fastq.gz
syn53009387  BBN003_26333_SSC_S1_L001_R2_001.fastq.gz
syn53009039  BBN003_26941_EC_S1_L001_R1_001.fastq.gz
syn53009916  BBN003_26941_EC_S1_L001_R2_001.fastq.gz
syn53055547  BBN003_26941_MTG_S1_L001_R1_001.fastq.gz
syn53058202  BBN003_26941_MTG_S1_L001_R2_001.fastq.gz
syn53009052  BBN003_26941_SSC_S1_L001_R1_001.fastq.gz
syn53009918  BBN003_26941_SSC_S1_L001_R2_001.fastq.gz
syn53009041  BBN003_26951_EC_S1_L001_R1_001.fastq.gz
syn53009922  BBN003_26951_EC_S1_L001_R2_001.fastq.gz
syn53009026  BBN003_26951_SSC_S1_L001_R1_001.fastq.gz
syn53009923  BBN003_26951_SSC_S1_L001_R2_001.fastq.gz
syn53009035  BBN003_28342_EC_S1_L001_R1_001.fastq.gz
syn53009931  BBN003_28342_EC_S1_L001_R2_001.fastq.gz
syn53009032  BBN003_28342_SSC_S1_L001_R1_001.fastq.gz
syn53009927  BBN003_28342_SSC_S1_L001_R2_001.fastq.gz
syn53009047  BBN003_29735_EC_S1_L001_R1_001.fastq.gz
syn53009933  BBN003_29735_EC_S1_L001_R2_001.fastq.gz
